Wirtschaftseinheit,Stadt
9884,Berlin
9968,Berlin
9879,Berlin
9917,Berlin
9870,Berlin
9824,Berlin
9897,Berlin
9929,Berlin
9871,Berlin
9983,Berlin
9974,Berlin
9865,Berlin
9942,Berlin
9952,Berlin
9939,Berlin
9887,Berlin
10054,Berlin
9918,Berlin
9892,Berlin
9919,Berlin
10009,Berlin
10028,Berlin
9985,Berlin
9890,Berlin
10021,Berlin
9995,Berlin
9896,Berlin
10055,Magdeburg
9902,Berlin
10046,Berlin
9905,Magdeburg
9915,Berlin
18254,Berlin
9985,Berlin
10058,Berlin
10070,Berlin
10054,Berlin
10055,Berlin
9941,Berlin
10036,Berlin
9912,Berlin
10020,Berlin
9975,Berlin
9957,Berlin
10076,Berlin
10053,Berlin
10750,Berlin
10754,Magdeburg
10666,Magdeburg
10761,Magdeburg
10756,Magdeburg
10758,Magdeburg
10825,Magdeburg
10762,Magdeburg
10766,Magdeburg
10797,Magdeburg
10783,Magdeburg
10724,Magdeburg
10754,Magdeburg
10228,Magdeburg
10320,Magdeburg
10171,Magdeburg
10199,Magdeburg
10338,Magdeburg
10329,Magdeburg
10236,Potsdam
10194,Potsdam
10229,Potsdam
10199,Potsdam
10305,Potsdam
10267,Berlin
10283,Berlin
10242,Berlin
10322,Berlin
10277,Berlin
10345,Berlin
10208,Berlin
10258,Berlin
10227,Berlin
10321,Berlin
10218,Berlin
10197,Berlin
10207,Berlin
10223,Berlin
10327,Berlin
10355,Berlin
10198,Berlin
10202,Berlin
10338,Berlin
