Mietobjektschlüssel,Buchungskreis,Wirtschaftseinheit,Mieteinheit,Konditionsart,Miete pro Monat,Grundmiete
OS 6784/9866/1033,6784,9866,1033,2001,329.52,x
OS 6784/9866/1033,6784,9866,1033,7005,67.46,x
OS 6784/9866/1033,6784,9866,1033,8022,41.36,
OS 6784/9866/1033,6784,9866,1033,60B3,12.43,
OS 6784/9866/1033,6784,9866,1033,30E5,-46.53,x
OS 6784/9866/1223,6784,9866,1223,2001,41.99,x
OS 6784/9866/1223,6784,9866,1223,7005,86.76,x
OS 6784/9866/1223,6784,9866,1223,8022,48.95,
OS 6784/9866/1223,6784,9866,1223,60B3,12.43,
OS 6784/9866/1223,6784,9866,1223,30E5,-85.28,x
OS 6784/9866/1223,6784,9866,1223,70K9,84.49,
OS 6784/9866/1281,6784,9866,1281,2001,86.66,x
OS 6784/9866/1281,6784,9866,1281,7005,67.46,x
OS 6784/9866/1281,6784,9866,1281,8022,51.19,
OS 6784/9866/1281,6784,9866,1281,60B3,12.43,
OS 6784/9866/1286,6784,9866,1286,2001,127.25,x
OS 6784/9866/1286,6784,9866,1286,7005,79.56,x
OS 6784/9866/1286,6784,9866,1286,8022,19.09,
OS 6784/9866/1286,6784,9866,1286,60B3,12.43,
OS 6784/9866/1398,6784,9866,1398,2001,305.56,x
OS 6784/9866/1398,6784,9866,1398,7005,67.46,x
OS 6784/9866/1398,6784,9866,1398,8022,55.04,
OS 6784/9866/1398,6784,9866,1398,60B3,12.43,
OS 6784/9866/1398,6784,9866,1398,30E5,-2.84,x
OS 6784/9866/1346,6784,9866,1346,2001,119.56,x
OS 6784/9866/1346,6784,9866,1346,7005,79.56,x
OS 6784/9866/1346,6784,9866,1346,8022,72.65,
OS 6784/9866/1346,6784,9866,1346,60B3,12.43,
OS 6784/9866/1195,6784,9866,1195,2001,287.09,x
OS 6784/9866/1195,6784,9866,1195,7005,66.91,x
OS 6784/9866/1195,6784,9866,1195,8022,99.06,
OS 6784/9866/1195,6784,9866,1195,2001,194.84,x
OS 6784/9866/1195,6784,9866,1195,7005,67.46,x
OS 6784/9866/1195,6784,9866,1195,8022,10.50,
OS 6784/9866/1195,6784,9866,1195,30E5,-152.64,x
OS 6784/9866/1292,6784,9866,1292,2001,127.25,x
OS 6784/9866/1292,6784,9866,1292,7005,99.06,x
OS 6784/9866/1292,6784,9866,1292,8022,22.64,
OS 6784/9866/1292,6784,9866,1292,60B3,12.43,
OS 6784/9866/1177,6784,9866,1177,2001,86.89,x
OS 6784/9866/1177,6784,9866,1177,7005,67.46,x
OS 6784/9866/1177,6784,9866,1177,8022,2.74,
OS 6784/9866/1177,6784,9866,1177,60B3,12.43,
OS 6784/9866/1177,6784,9866,1177,2001,690.33,x
OS 6784/9866/1177,6784,9866,1177,3087,8.87,
OS 6784/9866/1177,6784,9866,1177,7005,17.62,x
OS 6784/9866/1177,6784,9866,1177,8022,41.36,
OS 6784/9866/1177,6784,9866,1177,30E5,-243.27,x
OS 6784/9866/1376,6784,9866,1376,2001,256.92,x
OS 6784/9866/1376,6784,9866,1376,7005,67.46,x
OS 6784/9866/1376,6784,9866,1376,8022,67.46,
OS 6784/9866/1376,6784,9866,1376,60B3,12.43,
OS 6784/9866/1223,6784,9866,1223,2001,39.00,x
OS 6784/9866/1223,6784,9866,1223,7005,67.46,x
OS 6784/9866/1223,6784,9866,1223,8022,2.68,
OS 6784/9866/1223,6784,9866,1223,60B3,12.43,
OS 6784/9866/1401,6784,9866,1401,2001,283.91,x
OS 6784/9866/1401,6784,9866,1401,7005,67.46,x
OS 6784/9866/1401,6784,9866,1401,8022,19.09,
OS 6784/9866/1401,6784,9866,1401,60B3,12.43,
OS 6784/9866/1401,6784,9866,1401,30E5,-3.52,x
OS 6784/9866/1176,6784,9866,1176,2001,309.70,x
OS 6784/9866/1176,6784,9866,1176,7005,67.46,x
OS 6784/9866/1176,6784,9866,1176,8022,14.38,
OS 6784/9866/1176,6784,9866,1176,60B3,12.43,
OS 6784/9866/1326,6784,9866,1326,2001,318.31,x
OS 6784/9866/1326,6784,9866,1326,7005,67.46,x
OS 6784/9866/1326,6784,9866,1326,8022,52.01,
OS 6784/9866/1326,6784,9866,1326,60B3,12.43,
